Punto de Ingreso	Número de Análisis	NUMERO_ANALISIS	Fecha de Análisis	Número de Boletín	Campo	Lote	Descripcion	Especie	Cosecha	Descripción	Contenido Proteico	Grado	Factor	Gastos de Análisis	Gluten	Punto de Ingreso	Número de Análisis	Rubro de Análisis	Porcentaje	Bonificación	Rebaja	Descripción
1	105945	0001 00105945	21/12/2015	1648	1279		LESZCZYNSKI	TRIG	1516	TRIGO COSECHA 15/16		2	94,6	119		1	105945	75				Trébol de Olor
1	105945	0001 00105945	21/12/2015	1648	1279		LESZCZYNSKI	TRIG	1516	TRIGO COSECHA 15/16		2	94,6	119		1	105945	84				Aptitud Panadera
1	106014	0001 00106014	28/12/2015	1831	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16	11	2	100			1	106014	3				Brotados
1	106014	0001 00106014	28/12/2015	1831	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16	11	2	100			1	106014	4				Calcinados
1	106014	0001 00106014	28/12/2015	1831	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16	11	2	100			1	106014	21				Gluten Humedo
1	106014	0001 00106014	28/12/2015	1831	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16	11	2	100			1	106014	24				Granos Ardidos y Danados por Calor
1	106014	0001 00106014	28/12/2015	1831	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16	11	2	100			1	106014	26				Granos con Carbón
1	106014	0001 00106014	28/12/2015	1831	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16	11	2	100			1	106014	29				Granos Danados
1	106014	0001 00106014	28/12/2015	1831	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16	11	2	100			1	106014	37				Granos Panza Blanca
1	106014	0001 00106014	28/12/2015	1831	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16	11	2	100			1	106014	40				Granos Picados
1	106014	0001 00106014	28/12/2015	1831	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16	11	2	100			1	106014	42				Granos Quebrados y/o Chuzos
1	106014	0001 00106014	28/12/2015	1831	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16	11	2	100			1	106014	52	0,6			Materias Extranas
1	106014	0001 00106014	28/12/2015	1831	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16	11	2	100			1	106014	58				Olores Comercialmente Objetables
1	106014	0001 00106014	28/12/2015	1831	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16	11	2	100			1	106014	60				Otro Tipo
1	106014	0001 00106014	28/12/2015	1831	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16	11	2	100			1	106014	61	77			Peso Hectolítrico
1	106014	0001 00106014	28/12/2015	1831	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16	11	2	100			1	106014	65	11			Proteína
1	106014	0001 00106014	28/12/2015	1831	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16	11	2	100			1	106014	66				Punta Negra por Carbón
1	106014	0001 00106014	28/12/2015	1831	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16	11	2	100			1	106014	67				Punta Sombreada por Tierra
1	106014	0001 00106014	28/12/2015	1831	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16	11	2	100			1	106014	70				Revolcado en Tierra
1	106014	0001 00106014	28/12/2015	1831	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16	11	2	100			1	106014	74				Total Danados
1	106014	0001 00106014	28/12/2015	1831	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16	11	2	100			1	106014	75				Trébol de Olor
1	106014	0001 00106014	28/12/2015	1831	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16	11	2	100			1	106014	84				Aptitud Panadera
1	106015	0001 00106015	08/12/2015	1734	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16		3	91,4			1	106015	3				Brotados
1	106015	0001 00106015	08/12/2015	1734	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16		3	91,4			1	106015	4				Calcinados
1	106015	0001 00106015	08/12/2015	1734	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16		3	91,4			1	106015	21				Gluten Humedo
1	106015	0001 00106015	08/12/2015	1734	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16		3	91,4			1	106015	24				Granos Ardidos y Danados por Calor
1	106015	0001 00106015	08/12/2015	1734	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16		3	91,4			1	106015	26				Granos con Carbón
